nHd.2.3.1.t12330-RA	KEGG	K04287	29	354	99.8	Neuroactive ligand-receptor interaction
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Natural killer cell mediated cytotoxicity
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Non-small cell lung cancer
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Aldosterone-regulated sodium reabsorption
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Long-term depression
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	African trypanosomiasis
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Melanogenesis
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Phototransduction - fly
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Long-term potentiation
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Calcium signaling pathway
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Fc gamma R-mediated phagocytosis
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Vascular smooth muscle contraction
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Amoebiasis
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	MAPK signaling pathway - yeast
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Gap junction
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Wnt signaling pathway
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Gastric acid secretion
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	ErbB signaling pathway
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Glioma
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Leukocyte transendothelial migration
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Salivary secretion
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Focal adhesion
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Phosphatidylinositol signaling system
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Pancreatic secretion
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	MAPK signaling pathway
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	VEGF signaling pathway
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Tight junction
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Pathways in cancer
nHd.2.3.1.t12337-RA	KEGG	K02677	31	133	74.3	Vibrio cholerae infection
nHd.2.3.1.t12338-RA	KEGG	K13744	784	1099	77.4	Bacterial invasion of epithelial cells
nHd.2.3.1.t12339-RA	KEGG	K04676	4	328	 297	TGF-beta signaling pathway
nHd.2.3.1.t12348-RA	KEGG	K00472	3	411	 251	Arginine and proline metabolism
nHd.2.3.1.t12349-RA	KEGG	K00472	3	434	 192	Arginine and proline metabolism
nHd.2.3.1.t12358-RA	KEGG	K10352	79	2007	2351	Viral myocarditis
nHd.2.3.1.t12358-RA	KEGG	K10352	79	2007	2351	Tight junction
nHd.2.3.1.t12363-RA	KEGG	K14291	144	370	64.3	RNA transport
nHd.2.3.1.t12370-RA	KEGG	K11726	98	276	 235	Oxidative phosphorylation
nHd.2.3.1.t12373-RA	KEGG	K00033	1	542	 693	Pentose phosphate pathway
nHd.2.3.1.t12373-RA	KEGG	K00033	1	542	 693	Glutathione metabolism
nHd.2.3.1.t12377-RA	KEGG	K00235	51	307	 427	Huntingtons disease
nHd.2.3.1.t12377-RA	KEGG	K00235	51	307	 427	Oxidative phosphorylation
nHd.2.3.1.t12377-RA	KEGG	K00235	51	307	 427	Alzheimers disease
nHd.2.3.1.t12377-RA	KEGG	K00235	51	307	 427	Citrate cycle (TCA cycle)
nHd.2.3.1.t12377-RA	KEGG	K00235	51	307	 427	Parkinsons disease
nHd.2.3.1.t12378-RA	KEGG	K02966	1	144	 179	Ribosome
nHd.2.3.1.t12384-RA	KEGG	K13802	81	276	94.0	Phototransduction - fly
nHd.2.3.1.t12388-RA	KEGG	K13868	35	564	 421	Protein digestion and absorption
nHd.2.3.1.t12393-RA	KEGG	K03355	807	1245	 240	Ubiquitin mediated proteolysis
nHd.2.3.1.t12393-RA	KEGG	K03355	807	1245	 240	Progesterone-mediated oocyte maturation
nHd.2.3.1.t12393-RA	KEGG	K03355	807	1245	 240	Cell cycle
nHd.2.3.1.t12393-RA	KEGG	K03355	807	1245	 240	Oocyte meiosis
nHd.2.3.1.t12393-RA	KEGG	K03355	807	1245	 240	Cell cycle - yeast
